Series ID,,,"Annual2006","Annual2007","Annual2008","Annual2009","Annual2010","Annual2011","Annual2012","Annual2013","Annual2014","Annual2015","Annual2016"
TUU10101AA01000000,,,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00
TUU10101AA01008829,Personal care activities,,9.41,9.33,9.39,9.45,9.47,9.49,9.49,9.54,9.58,9.64,9.58
TUU10101AA01000247,Personal care activities,Sleeping,8.63,8.57,8.60,8.67,8.67,8.71,8.73,8.74,8.80,8.83,8.79
TUU10101AA01013237,Eating and drinking,,1.23,1.24,1.23,1.22,1.25,1.24,1.25,1.23,1.17,1.18,1.17
TUU10101AA01009381,Household activities,,1.79,1.84,1.73,1.80,1.79,1.77,1.74,1.78,1.77,1.84,1.82
TUU10101AA01000865,Household activities,Housework,0.61,0.64,0.58,0.60,0.57,0.58,0.60,0.57,0.55,0.57,0.57
TUU10101AA01001102,Household activities,Food preparation and cleanup,0.53,0.52,0.52,0.54,0.56,0.56,0.53,0.57,0.59,0.60,0.59
TUU10101AA01001483,Household activities,Lawn and garden care,0.20,0.21,0.19,0.20,0.21,0.19,0.18,0.18,0.19,0.20,0.19
TUU10101AA01009933,Household activities,Household management,0.13,0.14,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.14
TUU10101AA01012652,Purchasing goods and services,,0.81,0.78,0.77,0.76,0.75,0.72,0.72,0.75,0.74,0.75,0.76
TUU10101AA01004063,Purchasing goods and services,Consumer goods purchases,0.40,0.39,0.38,0.38,0.37,0.37,0.35,0.37,0.36,0.36,0.36
TUU10101AA01004372,Purchasing goods and services,Professional and personal care services,0.09,0.09,0.08,0.09,0.08,0.07,0.08,0.08,0.09,0.08,0.09
TUU10101AA01010374,Caring for and helping household members,,0.53,0.53,0.53,0.54,0.51,0.51,0.51,0.53,0.54,0.51,0.52
TUU10101AA01010710,Caring for and helping household members,Caring for and helping household children,0.41,0.42,0.42,0.43,0.40,0.39,0.40,0.41,0.41,0.40,0.40
TUU10101AA01011174,Caring for and helping nonhousehold members,,0.21,0.20,0.23,0.21,0.21,0.21,0.18,0.19,0.18,0.19,0.21
TUU10101AA01011750,Caring for and helping nonhousehold members,Caring for and helping nonhousehold adults,0.07,0.07,0.07,0.07,0.08,0.07,0.06,0.06,0.06,0.07,0.07
TUU10101AA01011987,Working and work-related activities,,3.75,3.81,3.73,3.53,3.50,3.57,3.53,3.46,3.59,3.53,3.61
TUU10101AA01002857,Working and work-related activities,Working,3.40,3.47,3.38,3.18,3.14,3.20,3.19,3.14,3.25,3.19,3.28
TUU10101AA01012335,Educational activities,,0.49,0.43,0.47,0.46,0.47,0.47,0.50,0.48,0.42,0.46,0.49
TUU10101AA01003655,Educational activities,Attending class,0.30,0.26,0.27,0.26,0.28,0.28,0.28,0.26,0.23,0.25,0.27
TUU10101AA01003859,Educational activities,Homework and research,0.15,0.14,0.16,0.16,0.16,0.15,0.17,0.18,0.15,0.17,0.18
TUU10101AA01015010,"Organizational, civic, and religious activities",,0.30,0.35,0.33,0.34,0.35,0.35,0.32,0.32,0.32,0.33,0.32
TUU10101AA01006854,"Organizational, civic, and religious activities",Religious and spiritual activities,0.12,0.15,0.14,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.16
TUU10101AA01015349,"Organizational, civic, and religious activities",Volunteering (organizational and civic activities),0.13,0.16,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.15,0.13
TUU10101AA01013585,Leisure and sports,,5.09,5.11,5.18,5.25,5.18,5.21,5.37,5.26,5.30,5.21,5.13
TUU10101AA01013951,Leisure and sports,Socializing and communicating,0.76,0.73,0.71,0.70,0.70,0.70,0.74,0.72,0.71,0.68,0.65
TUU10101AA01014236,Leisure and sports,Watching television,2.58,2.62,2.77,2.82,2.73,2.75,2.83,2.77,2.82,2.78,2.73
TUU10101AA01014521,Leisure and sports,"Participating in sports, exercise, and recreation",0.28,0.32,0.30,0.31,0.31,0.30,0.32,0.30,0.29,0.31,0.32
TUU10101AA01015586,"Telephone calls, mail, and e-mail",,0.19,0.19,0.21,0.20,0.18,0.16,0.16,0.15,0.14,0.16,0.16
TUU10101AA01015925,"Other activities, not elsewhere classified",,0.21,0.20,0.20,0.24,0.35,0.29,0.24,0.31,0.23,0.19,0.22
