Activity,Activity_sub,Total_avg_per,Men_avg_per,Women_avg_per,Total_avg_hour,Men_avg_hour,Women_avg_hour,
Total,all activities,100,100,100,,,,
Personal care activities,,100,100,100,9.49,9.25,9.73,
Personal care activities,Sleeping,99.9,99.9,99.9,8.72,8.63,8.81,
Personal care activities,Grooming,79.4,76.2,82.4,0.87,0.74,0.99,
Personal care activities,Health-related self care,5.7,4.1,7.1,1.09,0.95,1.16,
Personal care activities,Personal activities,0.4,0.6,0.3,1.28,1.25,1.34,
Personal care activities,Travel related to personal care,2.2,2.3,2.1,0.85,0.88,0.82,
Eating and drinking,,95.9,96.5,95.3,1.29,1.32,1.27,
Eating and drinking,Eating and drinking,95.9,96.5,95.3,1.17,1.19,1.15,
Eating and drinking,Travel related to eating and drinking,23,24.8,21.3,0.5,0.47,0.52,
Household activities,,74,65,82.5,2.4,2.11,2.62,
Household activities,Housework,33.8,18.9,47.8,1.71,1.43,1.82,
Household activities,Food preparation and cleanup,53.4,40.1,66,1.04,0.76,1.2,
Household activities,Lawn and garden care,9.1,11.5,6.8,2.12,2.28,1.85,
Household activities,Household management,16.2,13.9,18.4,0.76,0.73,0.78,
Household activities,"Interior maintenance, repair, and decoration",2.7,3.5,2,2.24,2.45,1.9,
Household activities,"Exterior maintenance, repair, and decoration",2.9,4.1,1.8,2.2,2.3,1.98,
Household activities,Animals and pets,14,11.4,16.5,0.64,0.7,0.6,
Household activities,Vehicles,2.3,4,0.8,1.87,2.1,0.77,
Household activities,"Appliances, tools, and toys",1.3,1.9,0.7,1.37,1.61,0.75,
Household activities,Travel related to household activities,8.8,8.2,9.3,0.53,0.64,0.45,
Purchasing goods and services,,42.6,38.4,46.6,1.7,1.61,1.77,
Purchasing goods and services,Consumer goods purchases,39.1,35.4,42.5,0.95,0.87,1.01,
Purchasing goods and services,Grocery shopping,13.8,11.3,16.1,0.78,0.74,0.81,
Professional and personal care services,,7.2,5.3,9,1.02,0.85,1.11,
Professional and personal care services,Financial services and banking,2.6,2.2,2.9,0.24,0.2,0.28,
Professional and personal care services,Medical and care services,2.8,1.9,3.8,1.47,1.49,1.47,
Professional and personal care services,Personal care services,1.5,0.9,2,1.22,0.67,1.46,
Household services,,1.7,1.5,1.9,0.73,0.88,0.62,
Household services,"Home maintenance, repair, decoration, and construction (not done by self)",0.3,0.2,0.4,1.02,1.14,0.97,
Household services,Vehicle maintenance and repair services (not done by self),0.9,0.9,0.8,0.74,0.94,0.53,
Government services,,0.4,0.5,0.4,0.76,0.94,0.59,
Travel related to purchasing goods and services,,41.4,37.3,45.3,0.64,0.66,0.62,
Caring for and helping household members,,24.4,19.5,29.1,2.08,1.7,2.31,
Caring for and helping household members,Caring for and helping household children,20.8,15.7,25.6,1.9,1.54,2.1,
Caring for and helping household members,Caring for and helping household children (except activities related to education and health),20.1,15,25,1.71,1.41,1.88,
Caring for and helping household members,Activities related to household childrens education,3.8,2.4,5.1,1.05,0.97,1.09,
Caring for and helping household members,Activities related to household childrens health,0.7,0.2,1.2,1.26,(,1.03,
Caring for and helping household adults,,4.9,4.7,5.1,0.67,0.57,0.77,
Caring for and helping household adults,Caring for household adults,1.8,1.4,2.3,1.12,0.99,1.19,
Caring for and helping household adults,Helping household adults,3.4,3.5,3.3,0.37,0.38,0.37,
Caring for and helping household adults,Travel related to caring for and helping household members,12.7,9.9,15.3,0.63,0.64,0.62,
Caring for and helping nonhousehold members,,11.7,10.9,12.5,1.77,1.75,1.8,
Caring for and helping nonhousehold members,Caring for and helping nonhousehold children,4.5,3.7,5.3,1.67,1.37,1.87,
Caring for and helping nonhousehold members,Caring for and helping nonhousehold adults,7.7,7.5,7.8,0.93,1.05,0.82,
Caring for and helping nonhousehold members,Travel related to caring for and helping nonhousehold members,9.3,9.1,9.6,0.65,0.66,0.64,
Working and work-related activities,,44.6,50.4,39.2,7.99,8.39,7.52,
Working and work-related activities,Working,42.1,47.9,36.7,7.6,7.96,7.17,
Working and work-related activities,Work-related activities,0.5,0.6,0.5,1.02,1.01,1.04,
Working and work-related activities,Other income-generating activities,1,0.8,1.2,4,3.43,4.37,
Working and work-related activities,Job search and interviewing,1.9,2.2,1.6,2.16,2.11,2.23,
Working and work-related activities,Travel related to work,36.6,42,31.4,0.76,0.81,0.69,
Educational activities,,8.4,8.5,8.3,5.65,5.83,5.48,
Educational activities,Attending class,5.4,5.7,5.1,5.12,5.31,4.93,
Educational activities,Homework and research,5.7,5.7,5.7,2.65,2.55,2.74,
Educational activities,Travel related to education,5.2,5.5,4.9,0.66,0.65,0.66,
"Organizational, civic, and religious activities",,14,11.7,16.2,2.53,2.59,2.49,
"Organizational, civic, and religious activities",Religious and spiritual activities,9.1,7,11,1.71,1.76,1.69,
"Organizational, civic, and religious activities",Volunteering (organizational and civic activities),6.1,5.6,6.6,2.47,2.48,2.45,
"Organizational, civic, and religious activities",Volunteer activities,6,5.4,6.5,2.48,2.48,2.48,
"Organizational, civic, and religious activities",Administrative and support activities,2.2,1.9,2.5,1.83,1.96,1.73,
"Organizational, civic, and religious activities",Social service and care activities (except medical),1.6,1.3,1.9,2.13,2.17,2.11,
"Organizational, civic, and religious activities","Indoor and outdoor maintenance, building, and cleanup activities",0.4,0.6,0.3,2.14,2.25,1.94,
"Organizational, civic, and religious activities",Participating in performance and cultural activities,0.4,0.4,0.4,2.6,3.07,2.17,
"Organizational, civic, and religious activities","Attending meetings, conferences, and training",0.8,0.5,1,2.11,2.25,2.04,
"Organizational, civic, and religious activities",Civic obligations and participation,0.1,0.2,0.1,(,(,(,)
"Organizational, civic, and religious activities","Travel related to organizational, civic, and religious activities",9.3,8.1,10.4,0.53,0.52,0.53,
Leisure and sports,,95.2,95.7,94.8,5.47,5.8,5.16,
Leisure and sports,"Socializing, relaxing, and leisure",94,94.5,93.6,4.95,5.17,4.74,
Leisure and sports,Socializing and communicating,35.6,32.3,38.8,1.97,1.95,1.98,
Leisure and sports,Socializing and communicating (except social events),34.1,31.1,36.9,1.8,1.82,1.78,
Leisure and sports,Attending or hosting social events,2.6,1.9,3.3,3.3,3.29,3.31,
Leisure and sports,Relaxing and leisure,89.8,90.5,89,4.31,4.61,4.02,
Leisure and sports,Watching TV,78.3,79.7,77,3.51,3.75,3.28,
Leisure and sports,Arts and entertainment (other than sports),2.9,2.7,3,2.85,2.85,2.84,
Leisure and sports,"Sports, exercise, and recreation",19.4,21.2,17.7,1.74,2.04,1.4,
Leisure and sports,"Participating in sports, exercise, and recreation",18.6,20.4,16.9,1.63,1.92,1.3,
Leisure and sports,Attending sporting or recreational events,1.1,1.3,1,2.9,2.95,2.83,
Leisure and sports,Travel related to leisure and sports,33,33.8,32.3,0.67,0.7,0.64,
"Telephone calls, mail, and e-mail",,21.2,16.5,25.7,0.73,0.66,0.78,
"Telephone calls, mail, and e-mail",Telephone calls (to or from),12.9,9,16.5,0.75,0.67,0.79,
"Telephone calls, mail, and e-mail",Household and personal messages,10.7,9.1,12.3,0.52,0.51,0.53,
Household and personal mail and messages,,5,4.3,5.6,0.31,0.26,0.35,
Household and personal mail and messages,Household and personal e-mail and messages,6.3,5.4,7.2,0.64,0.66,0.63,
Household and personal mail and messages,Travel related to telephone calls,0.5,0.4,0.6,0.48,0.44,0.5,
"Other activities, not elsewhere classified",,16.5,15.4,17.6,1.78,1.88,1.69,
