Activity,,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM
Total,all activities,100,100,100,100,100,100,100,100,100,100,100,100
Personal care activities,,85.8,92.2,94.8,95.9,93.9,89.2,75.9,53,33.2,20,12.3,8.3
Personal care activities,Sleeping,84.5,91.5,94.3,95.2,91.7,85.2,65.7,42.4,24.8,13.7,7.5,4.9
Eating and drinking,,0.6,0.3,0.3,0.3,0.5,1.2,3.2,6.2,7.3,6.7,5.3,6.2
Household activities,,0.7,0.3,0.2,0.3,0.8,1.7,4.4,7.7,10.4,13,14.1,14
Household activities,Housework,0.2,0.1,0.1,(2)-,0.1,0.3,0.8,1.8,3.6,5.4,6.2,6
Household activities,Food preparation and cleanup,0.1,0.1,0.1,0.1,0.4,0.9,2.4,3.6,3.6,3.2,2.6,2.8
Household activities,Lawn and garden care,(2)-,(2)-,(2)-,(2)-,(2)-,(2)-,0.1,0.4,0.9,1.5,1.9,1.9
Household activities,Household management,0.1,0.1,(2)-,(2)-,(2)-,0.1,0.2,0.4,0.6,0.8,0.9,0.9
Purchasing goods and services,,0.2,0.1,0.1,0.1,0.1,0.2,0.4,0.9,2.1,3.9,5.8,7.1
Purchasing goods and services,Consumer goods purchases,0.1,(2)-,(2)-,(2)-,(2)-,(2)-,0.1,0.2,0.5,1.1,2.3,3.1
Purchasing goods and services,Professional and personal care services,(2)-,(2)-,(2)-,(2)-,(2)-,(2)-,(2)-,0.1,0.3,0.7,0.9,1
Caring for and helping household members,,0.3,0.2,0.2,0.2,0.5,0.4,1.5,3.7,3.5,2.6,2.4,2.3
Caring for and helping household members,Caring for and helping household children,0.2,0.2,0.2,0.2,0.4,0.3,1.2,2.6,2.1,1.9,1.8,1.7
Caring for and helping nonhousehold members,,0.2,0.1,0.1,(2)-,(2)-,0.1,0.2,0.4,0.7,1,1.1,1.3
Caring for and helping nonhousehold members,Caring for and helping nonhousehold adults,(2)-,(2)-,(2)-,(2)-,(2)-,(2)-,0.1,0.1,0.2,0.3,0.5,0.5
Working and work-related activities,,2.2,1.7,1.5,1.4,2.2,3.8,7.8,15.8,24.9,28.9,30.1,30.5
Working and work-related activities,Working,1.9,1.6,1.3,1.3,1.9,2.7,5.7,11.8,21.3,26.9,28.6,29.2
Educational activities,,0.3,0.2,0.1,(2)-,0.1,0.1,0.2,1.3,3.3,4.2,4.6,4.4
Educational activities,Attending class,(2)-,(2)-,(2)-,(2)-,(2)-,(2)-,(2)-,0.4,2.5,3.4,3.6,3.3
Educational activities,Homework and research,0.2,0.2,0.1,(2)-,0.1,0.1,0.1,0.2,0.3,0.5,0.7,0.9
"Organizational, civic, and religious activities",,0.2,0.1,(2)-,0.1,0.1,0.3,0.5,0.9,1.5,2.7,3.7,3.8
"Organizational, civic, and religious activities",Religious and spiritual activities,0.1,(2)-,(2)-,0.1,0.1,0.2,0.4,0.5,0.7,1.2,1.9,2.2
"Organizational, civic, and religious activities",Volunteering (organizational and civic activities),0.1,(2)-,(2)-,(2)-,(2)-,(2)-,0.1,0.2,0.5,0.9,1.3,1.3
Leisure and sports,,8.9,4.5,2.5,1.6,1.6,2.7,5.1,8.5,11.3,15,18.1,19.5
Leisure and sports,Socializing and communicating,1.1,0.7,0.3,0.2,0.1,0.1,0.2,0.7,1,1.4,2.3,2.7
Leisure and sports,Watching television,4.6,2.1,1.2,0.7,0.8,1.3,2,3.3,4.4,5.8,7,8.1
Leisure and sports,"Participating in sports, exercise, and recreation",0.2,0.1,0.1,(2)-,0.1,0.3,1,1.2,1.6,1.9,2,1.9
"Telephone calls, mail, and e-mail",,0.4,0.2,0.1,0.1,0.1,0.1,0.2,0.4,0.6,0.7,0.8,0.9
"Other activities, not elsewhere classified",,0.3,0.1,0.1,0.1,0.2,0.3,0.6,1.1,1.3,1.4,1.6,1.6
