Industry,,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM
"Total, 15 years and over",All industries,4.4,3.7,3.1,3.0,4.4,6.4,13.6,28.4,51.2,64.5,68.6,69.9,53.2,62.3,67.3,63.7,53.2,34.0,19.9,15.2,12.5,11.1,8.8,6.4
"Agriculture, forestry, fishing, and hunting",,2.4,1.6,1.7,1.9,5.2,8.8,23.0,44.3,63.6,60.8,65.8,65.8,38.3,54.9,60.6,49.1,51.2,31.6,22.8,16.4,10.6,6.8,5.1,3.7
Mining,,2.1,1.5,1.7,2.2,2.2,7.1,16.4,-1,-1,84.5,89.6,-1,-1,-1,86.9,-1,-1,-1,-1,10.4,5.9,4.7,3.6,2.3
Construction,,0.9,0.9,0.9,1.3,0.9,5.0,16.4,46.9,71.5,74.6,80.1,82.3,48.8,75.1,76.3,67.2,46.4,24.8,10.5,7.5,5.8,4.7,2.7,1.5
Manufacturing,,7.6,7.1,6.7,6.3,8.2,12.7,27.8,48.6,65.2,67.7,72.6,70.8,49.1,67.3,69.0,63.6,48.7,27.6,15.8,11.2,10.5,10.5,10.2,9.6
Manufacturing,Durable goods manufacturing,7.3,6.4,6.4,6.2,6.7,11.3,28.1,48.1,67.7,69.8,75.2,73.6,47.4,68.9,70.9,65.9,51.1,28.4,15.4,10.6,9.2,9.8,9.9,8.9
Manufacturing,Nondurable goods manufacturing,8.1,8.4,7.3,6.5,10.9,15.3,27.3,49.5,60.7,63.8,68.0,65.8,52.1,64.5,65.6,59.3,44.5,26.2,16.4,12.4,12.7,11.7,10.8,10.7
Wholesale and retail trade,,3.6,3.1,2.2,2.1,4.1,6.9,13.0,25.9,46.0,59.5,65.2,65.4,55.6,61.0,65.2,63.7,57.5,38.9,25.2,19.9,15.6,13.1,8.8,5.5
Wholesale and retail trade,Wholesale trade,3.8,2.8,3.0,2.7,5.4,8.5,18.1,36.5,62.8,76.8,79.1,76.2,54.9,67.5,75.1,72.5,59.6,27.2,11.8,9.8,8.3,6.7,6.1,4.5
Wholesale and retail trade,Retail trade,3.5,3.2,2.0,1.9,3.8,6.5,11.7,23.1,41.7,55.1,61.7,62.6,55.8,59.3,62.6,61.4,56.9,41.9,28.6,22.5,17.4,14.7,9.6,5.8
