Series ID,"Annual2016",age,activity
TUU10101AA01008829,9.58,15 years and over,Personal care activities
TUU10101AA01013237,1.17,15 years and over,Eating and drinking
TUU10101AA01009381,1.82,15 years and over,Household activities
TUU10101AA01012652,0.76,15 years and over,Purchasing goods and services
TUU10101AA01010374,0.52,15 years and over,Caring for and helping household members
TUU10101AA01011174,0.21,15 years and over,Caring for and helping nonhousehold members
TUU10101AA01011987,3.61,15 years and over,Working and work-related activities
TUU10101AA01012335,0.49,15 years and over,Educational activities
TUU10101AA01015010,0.32,15 years and over,"Organizational, civic, and religious activities"
TUU10101AA01013585,5.13,15 years and over,Leisure and sports
TUU10101AA01015586,0.16,15 years and over,"Telephone calls, mail, and e-mail"
TUU10101AA01015925,0.22,15 years and over,"Other activities, not elsewhere classified"
TUU10101AA01008943,10.55,15 to 19 years,Personal care activities
TUU10101AA01013351,1.02,15 to 19 years,Eating and drinking
TUU10101AA01009495,0.68,15 to 19 years,Household activities
TUU10101AA01012766,0.45,15 to 19 years,Purchasing goods and services
TUU10101AA01010485,0.14,15 to 19 years,Caring for and helping household members
TUU10101AA01011285,0.23,15 to 19 years,Caring for and helping nonhousehold members
TUU10101AA01012101,1.15,15 to 19 years,Working and work-related activities
TUU10101AA01012441,3.9,15 to 19 years,Educational activities
TUU10101AA01015121,0.23,15 to 19 years,"Organizational, civic, and religious activities"
TUU10101AA01013705,5.2,15 to 19 years,Leisure and sports
TUU10101AA01015697,0.21,15 to 19 years,"Telephone calls, mail, and e-mail"
TUU10101AA01016036,0.25,15 to 19 years,"Other activities, not elsewhere classified"
TUU10101AA01008889,10.15,20 to 24 years,Personal care activities
TUU10101AA01013297,1,20 to 24 years,Eating and drinking
TUU10101AA01009441,1.13,20 to 24 years,Household activities
TUU10101AA01012712,0.64,20 to 24 years,Purchasing goods and services
TUU10101AA01010431,0.33,20 to 24 years,Caring for and helping household members
TUU10101AA01011231,0.16,20 to 24 years,Caring for and helping nonhousehold members
TUU10101AA01012047,4.2,20 to 24 years,Working and work-related activities
TUU10101AA01012392,0.99,20 to 24 years,Educational activities
TUU10101AA01015067,0.14,20 to 24 years,"Organizational, civic, and religious activities"
TUU10101AA01013651,4.8,20 to 24 years,Leisure and sports
TUU10101AA01015643,0.12,20 to 24 years,"Telephone calls, mail, and e-mail"
TUU10101AA01015982,,20 to 24 years,"Other activities, not elsewhere classified"
TUU10101AA01008894,9.51,25 to 34 years,Personal care activities
TUU10101AA01013302,1.24,25 to 34 years,Eating and drinking
